Index,Description,Reviews,Price,Discount,Brand,TV_Type,TV_Size,TV_Pixels
155,"Samsung 50"" 4K UHD HDR QLED Smart TV (QN50Q80CAFXZC) - 2023 - Titan Black",53,$1099.99,$300,Samsung,LED,50,4K
156,"LG 70"" 4K UHD HDR LED webOS Smart TV (70UQ9000PUD) - 2022 - Titan Grey",4,$999.99,$500,LG,LED,70,4K
157,"Sony 77"" 4K UHD HDR OLED Smart Google TV (XR77A80L) - 2023",0,$4499.99,"$3,000",Sony,OLED,77,4K
158,"Sony BRAVIA XR 100"" 4K UHD HDR LED Google Smart TV (XR100X92) - 2021",11,$16999.99,15.50,Sony,LED,100,4K
159,"Sony 65"" 4K UHD HDR OLED Smart Google TV (XR65A80L) - 2023",0,$3299.99,0,Sony,OLED,65,4K
160,"Open Box - Samsung 32"" 1080p HD LED Tizen Smart TV (UN32N5300AFXZC) - Glossy Black",7727,$239.99,15.50,Samsung,LED,32,1080p
161,"Sony 55"" 4K UHD HDR OLED Smart Google TV (XR55A80L) - 2023",0,$2399.99,15.50,Sony,OLED,55,4K
162,"Sony X80K 75"" 4K UHD HDR LED Smart Google TV (KD75X80K) - 2022",519,$1599.99,12.20,Sony,LED,75,4K
163,"Open Box - Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43TU7000FXZC) - Titan Grey",14,$359.99,$100,Samsung,LED,43,4K
164,"Sony 75"" 4K UHD HDR LED Smart Google TV (KD75X77L) - 2023",0,$1499.99,0,Sony,LED,75,4K
165,"TCL 32"" S-Class 720p HD LED Roku OS Smart TV (32S250R-CA) - 2023",24,$179.99,15.50,TCL,LED,32,720p
166,"LG 55"" 4K UHD HDR LED webOS Smart TV (55NANO75UQA) - 2022 - Ashed Blue",471,$799.99,$200,LG,LED,55,4K
167,"Sony 75"" 4K UHD HDR Mini-LED Smart Google TV (XR75X93L) - 2023",0,$3999.99,15.50,Sony,LED,75,4K
168,"Sony X80K 85"" 4K UHD HDR LED Smart Google TV (KD85X80K) - 2022",310,$2199.99,$80,Sony,LED,85,4K
169,"Samsung 50"" 4K UHD HDR QLED Tizen Smart TV (QN50Q80BAFXZC) - Titan Black - Open Box",0,$719.99,$900,Samsung,LED,50,4K
170,"Samsung 75"" 4K UHD HDR Neo QLED Tizen Smart TV (QN75QN90CAFXZC) - 2023 - Titan Black",24,$3699.99,$300,Samsung,LED,75,4K
171,"Samsung 55"" 4K UHD HDR Neo QLED Tizen Smart TV (QN55QN90CAFXZC) - 2023 - Titan Black",12,$2099.99,15.50,Samsung,LED,55,4K
172,"Toshiba 55"" 4K UHD HDR LED Smart TV (55C350KC) - Fire TV Edition - 2021 - Only at Best Buy",56,$649.99,$100,Toshiba,LED,55,4K
173,"LG 43"" 4K UHD HDR LED webOS Smart TV (43UP7700PUB) - 2021",9,$549.97,15.50,LG,LED,43,4K
174,"Sony BRAVIA XR 65"" 4K UHD HDR OLED Google TV Smart TV (XR65A80K) - 2022 - Titanium Black",1731,$2399.99,0,Sony,OLED,65,4K
175,"TCL 6-Series 65"" 4K UHD HDR QLED Mini-LED Smart Google TV (65R646-CA) - 2021",733,$1299.99,15.50,TCL,LED,65,4K
176,"LG 75"" 4K UHD HDR LED webOS Smart TV (75UP7070PUD) - 2021",1153,$998.98,$50,LG,LED,75,4K
177,"Sony 50"" 4K UHD HDR LED Smart Google TV (KD50X77L) - 2023",0,$699.99,$200,Sony,LED,50,4K
178,"Samsung 75"" 4K UHD HDR QLED Smart TV (QN75Q80CAFXZC) - 2023 - Titan Black",52,$2499.99,12.20,Samsung,LED,75,4K
179,"Insignia 32"" 720p HD LED TV (NS-32D310CA21) - 2020 - Only at Best Buy",4018,$199.99,$100,Insignia,LED,32,720p
